time,position,CO2 mass frac. - gas,CO2 mass frac. - oil,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Physical flow regime ID - gas/liquid,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,VF - continuous gas,VF - continuous oil,VF - bubbles,VF - droplets,VF - total gas,VF - total oil,Wall temperature - inner surface
[s],[m],[-],[-],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[?],[Bar],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[?],[?],[-],[-],[-],[-],[C]
0,0,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3232271929771917,0,0,0,2.3232271929771917,2.3232271929771917,,,,,,,,2.3232271929771913,2.3232271929771913,,,,,,,
0,16.666666666666668,1,1,,363.7667208657196,4332.329783280826,0,4332.329783280826,398.57988546868023,425.2186540488346,,,,,,,,4,149.53141026096557,,,,,,,,0.2864551822827366,0.2864551822827366,0.2864551822827366,4,,,,,,0,1,0,0,0,1,0.6281063162400073
0,33.333333333333336,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.3232271929771917,0,0,0,2.3232271929771917,2.3232271929771917,,,,,,,,2.325038628578291,2.325038628578288,,,,,,,
0,50,1,1,,355.1909599330131,4324.199049500625,0,4324.199049500625,398.5109475463135,425.2186540488346,,,,,,,,4,149.4483000346936,,,,,,,,0.5501162594515563,0.5501162594515563,0.5501162594515563,4,,,,,,0,1,0,0,0,1,0.8680526638671608
0,66.66666666666667,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.326852891160226,0,0,0,2.326852891160226,2.326852891160226,,,,,,,,2.3285149247846877,2.3285149247846846,,,,,,,
0,83.33333333333334,1,1,,346.58170334306425,4321.811203425126,0,4321.811203425126,398.4906570224462,425.2186540488346,,,,,,,,4,149.36507036625568,,,,,,,,0.7947732043062388,0.7947732043062388,0.7947732043062388,4,,,,,,0,1,0,0,0,1,1.0903105236841384
0,100,,,0,,,,,,,0,46.00000000000001,0,0,0,46.00000000000001,46.00000000000001,,,0,2.330179334434114,0,0,0,2.330179334434114,2.330179334434114,,,,,,,,2.3317353980508786,2.3317353980508755,,,,,,,
0,116.66666666666667,1,1,,337.9268126705182,4319.612051193171,0,4319.612051193171,398.471951895539,425.2186540488346,,,,,,,,4,149.28172885605275,,,,,,,,1.0218011399434772,1.0218011399434772,1.0218011399434772,4,,,,,,0,1,0,0,0,1,1.2965322951166627
0,133.33333333333334,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.3332935412946925,0,0,0,2.3332935412946925,2.3332935412946925,,,,,,,,2.33475033845305,2.334750338453047,,,,,,,
0,150,1,1,,329.25632372993374,4317.585540560925,0,4317.585540560925,398.4546998775277,425.2186540488346,,,,,,,,4,149.19828262766373,,,,,,,,1.2324759161963357,1.2324759161963357,1.2324759161963357,4,,,,,,0,1,0,0,0,1,1.4878816318076247
0,166.66666666666669,,,0,,,,,,,0,46.00000000000001,0,0,0,46.00000000000001,46.00000000000001,,,0,2.336208955857152,0,0,0,2.336208955857152,2.336208955857152,,,,,,,,2.33757282732665,2.337572827326647,,,,,,,
0,183.33333333333337,1,1,,320.6004946594079,4315.717095743339,0,4315.717095743339,398.4387804695342,425.2186540488346,,,,,,,,4,149.11473835303957,,,,,,,,1.4279810729349833,1.4279810729349833,1.4279810729349833,4,,,,,,0,1,0,0,0,1,1.665437532293879
0,200.00000000000003,,,0,,,,,,,0,46,0,0,0,46,46,,,0,2.338938292174133,0,0,0,2.338938292174133,2.338938292174133,,,,,,,,2.3402152262662805,2.3402152262662774,,,,,,,
0,216.66666666666669,1,1,,311.9895594055501,4313.993472032414,0,4313.993472032414,398.42408385874063,425.2186540488346,,,,,,,,4,149.0311022770893,,,,,,,,1.609414375446704,1.609414375446704,1.609414375446704,4,,,,,,0,1,0,0,0,1,1.8302004053447263
0,233.33333333333337,,,0,,,,,,,0,45.99999999999999,0,0,0,45.99999999999999,45.99999999999999,,,0,2.34149355539425,0,0,0,2.34149355539425,2.34149355539425,,,,,,,,2.342689199621313,2.3426891996213097,,,,,,,
0,250.00000000000003,1,1,,303.4531074420629,4312.40262517525,0,4312.40262517525,398.41050991771186,425.2186540488346,,,,,,,,4,148.9473802415426,,,,,,,,1.7777939330042614,1.7777939330042614,1.7777939330042614,4,,,,,,0,1,0,0,0,1,1.9830977364381965
