time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,Wall temperature - inner surface
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[C]
0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,16.666666666666668,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,33.333333333333336,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,50,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,66.66666666666667,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,83.33333333333334,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,100,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,116.66666666666667,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,133.33333333333334,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,150,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,166.66666666666669,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,183.33333333333337,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,200.00000000000003,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,216.66666666666669,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,233.33333333333337,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,250.00000000000003,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,266.6666666666667,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,283.33333333333337,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,300,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,316.66666666666663,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,333.3333333333333,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,350,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,366.66666666666663,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,383.33333333333326,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,399.99999999999994,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,416.66666666666663,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,433.33333333333326,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,449.9999999999999,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,466.6666666666666,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,483.33333333333326,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,499.9999999999999,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,516.6666666666665,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,533.3333333333333,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,550,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,566.6666666666666,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,583.3333333333333,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,600,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,616.6666666666667,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,633.3333333333334,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,650,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,666.6666666666667,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,683.3333333333335,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,700.0000000000001,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,716.6666666666667,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,733.3333333333335,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,750.0000000000002,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,766.6666666666669,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,783.3333333333335,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,800.0000000000002,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,816.666666666667,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,833.3333333333336,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,850.0000000000002,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,866.666666666667,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,883.3333333333337,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,900.0000000000003,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,916.666666666667,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,933.3333333333337,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,950.0000000000005,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,966.6666666666671,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,983.3333333333337,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,1000.0000000000005,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
