time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Superficial velocity - continuous gas,Superficial velocity - continuous oil,Superficial velocity - bubbles,Superficial velocity - droplets,Superficial velocity - total gas,Superficial velocity - total liquid,Superficial velocity - total,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil,Wall temperature - inner surface
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[?],[?],[m/s],[m/s],[m/s],[m/s],[m/s],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s],[C]
0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,25,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,50,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,75,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,100,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,125,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,150,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,175,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,200,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,225,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,250,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,275,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,300,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,325,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,350,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,375,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,400,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,425,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,450,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,475,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,500,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,525,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,550,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,575,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,600,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,625,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,650,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,675,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,700,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,725,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,750,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,775,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,800,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,825,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,850,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,875,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,900,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,925,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,950,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
0,975,,0,0,0,0,0,0,,,,,,,,80,,,,,,,,5,5,5,4,,,,,,4.694943803993567
0,1000,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,0,0,
203.43176606432192,0,0,,,,,,,0,110,0,0,0,110,110,,0,5.773588857106975,0,0,0,5.773588857106975,5.773588857106975,,,,,,,,5.772638488079373,5.772638488079373,
203.43176606432192,25,,327.54392960145367,10575.265348829273,0,10575.265348829273,421.4705657275483,425.2186540488346,,,,,,,,367.243104523693,,,,,,,,38.94296584203465,38.94296584203465,38.94296584203465,4,,,,,,37.55132950990867
203.43176606432192,50,0,,,,,,,0,109.98186720408367,0,1.8070100809037504e-39,0,109.98186720408367,109.98186720408367,,0,5.772637117939241,0,9.484484788896243e-41,0,5.772637117939241,5.772637117939241,,,,,,,,5.76049442132456,5.760494421324552,
203.43176606432192,75,,316.0742317883923,10431.57533077712,0,10431.57533077712,421.23931581545577,425.2186540488346,,,,,,,,366.5086473718297,,,,,,,,37.865685356744564,37.865685356744564,37.865685356744564,4,,,,,,36.49915136288638
203.43176606432192,100,0,,,,,,,0,109.96248052530066,0,1.7216033895175724e-38,0,109.96248052530066,109.96248052530066,,0,5.747389421519756,0,8.998273830944754e-40,0,5.747389421519756,5.747389421519756,,,,,,,,5.7350015862729835,5.7350015862729755,
203.43176606432192,125,,304.92579280516185,10275.255422350558,0,10275.255422350558,420.98069537512424,425.2186540488346,,,,,,,,365.7788253231695,,,,,,,,36.7654230632354,36.7654230632354,36.7654230632354,4,,,,,,35.415025907845575
203.43176606432192,150,0,,,,,,,0,109.9436045508186,0,8.350382944087631e-38,0,109.9436045508186,109.9436045508186,,0,5.721684693875285,0,4.3457060075831115e-39,0,5.721684693875285,5.721684693875285,,,,,,,,5.708815616228617,5.708815616228609,
203.43176606432192,175,,294.15295917030494,10102.275212573486,0,10102.275212573486,420.6855714654913,425.2186540488346,,,,,,,,365.0523010086216,,,,,,,,35.6217151165539,35.6217151165539,35.6217151165539,4,,,,,,34.27253157617821
203.43176606432192,200,0,,,,,,,0,109.92902259687389,0,2.748315120188263e-37,0,109.92902259687389,109.92902259687389,,0,5.6952488303436795,0,1.4238586047533154e-38,0,5.6952488303436795,5.6952488303436795,,,,,,,,5.681521231658472,5.681521231658464,
203.43176606432192,225,,283.5654388474503,9904.406062493721,0,9904.406062493721,420.3358804004123,425.2186540488346,,,,,,,,364.32909676965045,,,,,,,,34.40211775891402,34.40211775891402,34.40211775891402,4,,,,,,33.03193341652076
203.43176606432192,250,0,,,,,,,0,109.92512592750873,0,6.902384866282269e-37,0,109.92512592750873,109.92512592750873,,0,5.667658741340034,0,3.55881893183149e-38,0,5.667658741340034,5.667658741340034,,,,,,,,5.652486544048997,5.6524865440489895,
203.43176606432192,275,,272.78495202589454,9667.3374608757,0,9667.3374608757,419.8988819434394,425.2186540488346,,,,,,,,363.60922392398055,,,,,,,,33.05564584389134,33.05564584389134,33.05564584389134,4,,,,,,31.63141434738452
203.43176606432192,300,0,,,,,,,0,109.94177822221324,0,1.4104597208059827e-36,0,109.94177822221324,109.94177822221324,,0,5.638249356713335,0,7.233395477223262e-38,0,5.638249356713335,5.638249356713335,,,,,,,,5.620647173156885,5.620647173156878,
203.43176606432192,325,,262.8498850104487,9364.238755424441,0,9364.238755424441,419.3093816547672,425.2186540488346,,,,,,,,362.8926702597546,,,,,,,,31.495295048878916,31.495295048878916,31.495295048878916,4,,,,,,29.958954802965195
203.43176606432192,350,0,,,,,,,0,109.99082756632927,0,2.44182337039051e-36,0,109.99082756632927,109.99082756632927,,0,5.6056543401488765,0,1.244469023187597e-37,0,5.6056543401488765,5.6056543401488765,,,,,,,,5.580928812711763,5.580928812711756,
203.43176606432192,375,,213.45675692287907,8282.358305409316,0,8282.358305409316,416.8710705466147,425.2186540488346,,,,,,,,362.1790632124231,,,,,,,,29.310989235935892,29.310989235935892,29.310989235935892,4,,,,,,27.578837381848246
203.43176606432192,400,0,,,,,,,0,110.10102851530323,0,3.683672305691918e-36,0,110.10102851530323,110.10102851530323,,0,5.561987482248995,0,1.860885364037992e-37,0,5.561987482248995,5.561987482248995,,,,,,,,5.53585903605832,5.535859036058313,
203.43176606432192,425,,206.5407965162694,8330.156495824918,0,8330.156495824918,416.991500145542,425.2186540488346,,,,,,,,361.4705098732023,,,,,,,,26.954928100387065,26.954928100387065,26.954928100387065,4,,,,,,25.28935681541435
203.43176606432192,450,0,,,,,,,0,110.2370017714271,0,4.932803650973245e-36,0,110.2370017714271,110.2370017714271,,0,5.516779671548858,0,2.4686076787408338e-37,0,5.516779671548858,5.516779671548858,,,,,,,,5.492462173441785,5.492462173441778,
203.43176606432192,475,,199.04765698883324,8379.314590870543,0,8379.314590870543,417.1139942965636,425.2186540488346,,,,,,,,360.7670429838876,,,,,,,,24.70316468464364,24.70316468464364,24.70316468464364,4,,,,,,23.12906061607015
203.43176606432192,500,0,,,,,,,0,110.38970463609908,0,5.95189572641195e-36,0,110.38970463609908,110.38970463609908,,0,5.475933010602373,0,2.952465756780751e-37,0,5.475933010602373,5.475933010602373,,,,,,,,5.4537771245749775,5.45377712457497,
203.43176606432192,525,,191.1877892197904,8427.968461274078,0,8427.968461274078,417.233894615693,425.2186540488346,,,,,,,,360.06776350620606,,,,,,,,22.597856956057683,22.597856956057683,22.597856956057683,4,,,,,,21.138618383464404
203.43176606432192,550,0,,,,,,,0,110.54859599051179,0,6.551428104613727e-36,0,110.54859599051179,110.54859599051179,,0,5.439618159771222,0,3.2236743461989404e-37,0,5.439618159771222,5.439618159771222,,,,,,,,5.419871740268626,5.4198717402686185,
203.43176606432192,575,,183.16433084792342,8474.329745120775,0,8474.329745120775,417.34692728807244,425.2186540488346,,,,,,,,359.3721141496025,,,,,,,,20.674086155156715,20.674086155156715,20.674086155156715,4,,,,,,19.348015281358187
203.43176606432192,600,0,,,,,,,0,110.70345049010868,0,6.647071734249492e-36,0,110.70345049010868,110.70345049010868,,0,5.407832764858869,0,3.247076053700192e-37,0,5.407832764858869,5.407832764858869,,,,,,,,5.390619985887947,5.39061998588794,
203.43176606432192,625,,175.16327609965148,8516.866295557871,0,8516.866295557871,417.449605513531,425.2186540488346,,,,,,,,358.679592355229,,,,,,,,18.956223316209048,18.956223316209048,18.956223316209048,4,,,,,,17.774755075785833
203.43176606432192,650,0,,,,,,,0,110.84547447644735,0,6.271005075795192e-36,0,110.84547447644735,110.84547447644735,,0,5.3804102405851175,0,3.043929406043452e-37,0,5.3804102405851175,5.3804102405851175,,,,,,,,5.365735136792657,5.36573513679265,
203.43176606432192,675,,167.35711168547348,8554.504071804036,0,8554.504071804036,417.5396487436055,425.2186540488346,,,,,,,,357.9897581970286,,,,,,,,17.456678007537732,17.456678007537732,17.456678007537732,4,,,,,,16.423969852695393
203.43176606432192,700,0,,,,,,,0,110.96790667048816,0,5.54231494281402e-36,0,110.96790667048816,110.96790667048816,,0,5.357050364682492,0,2.675589832810934e-37,0,5.357050364682492,5.357050364682492,,,,,,,,5.344814538140869,5.344814538140862,
203.43176606432192,725,,159.8978048801829,8586.556068686017,0,8586.556068686017,417.6157366827533,425.2186540488346,,,,,,,,357.3022384755442,,,,,,,,16.176417638899693,16.176417638899693,16.176417638899693,4,,,,,,15.28988864954897
203.43176606432192,750,0,,,,,,,0,111.06623054263353,0,4.618095793439058e-36,0,111.06623054263353,111.06623054263353,,0,5.337359496184091,0,2.219255782516027e-37,0,5.337359496184091,5.337359496184091,,,,,,,,5.3273863673159845,5.327386367315977,
203.43176606432192,775,,152.92441131965109,8612.784389283632,0,8612.784389283632,417.6775989648749,425.2186540488346,,,,,,,,356.61672578499247,,,,,,,,15.106664330398132,15.106664330398132,15.106664330398132,4,,,,,,14.358157708423619
203.43176606432192,800,0,,,,,,,0,111.13809681061683,0,3.647840217427783e-36,0,111.13809681061683,111.13809681061683,,0,5.320891137185905,0,1.7464542978324254e-37,0,5.320891137185905,5.320891137185905,,,,,,,,5.312951652493567,5.31295165249356,
203.43176606432192,825,,146.55903478128016,8633.316985096986,0,8633.316985096986,417.72577766247434,425.2186540488346,,,,,,,,355.9329738637808,,,,,,,,14.231231640458248,14.231231640458248,14.231231640458248,4,,,,,,13.608489599914208
203.43176606432192,850,0,,,,,,,0,111.18304913724252,0,2.7445331318434515e-36,0,111.18304913724252,111.18304913724252,,0,5.307181568246079,0,1.3100680152044172e-37,0,5.307181568246079,5.307181568246079,,,,,,,,5.301018143063684,5.3010181430636765,
203.43176606432192,875,,140.89993136691564,8648.55687411483,0,8648.55687411483,417.7613965256371,425.2186540488346,,,,,,,,355.2507905659618,,,,,,,,13.5290485754428,13.5290485754428,13.5290485754428,4,,,,,,13.017253834103826
203.43176606432192,900,0,,,,,,,0,111.20213732246172,0,1.9749037443381818e-36,0,111.20213732246172,111.20213732246172,,0,5.295778053316061,0,9.405081735389733e-38,0,5.295778053316061,5.295778053316061,,,,,,,,5.291110131428653,5.2911101314286455,
203.43176606432192,925,,136.00414751092853,8659.120604687263,0,8659.120604687263,417.7860161877069,425.2186540488346,,,,,,,,354.57002775114285,,,,,,,,12.97503394336377,12.97503394336377,12.97503394336377,4,,,,,,12.558322407976164
203.43176606432192,950,0,,,,,,,0,111.19748659905669,0,1.3640220403720433e-36,0,111.19748659905669,111.19748659905669,,0,5.286229340057378,0,6.484439127926111e-38,0,5.286229340057378,5.286229340057378,,,,,,,,5.713139059195224,5.713139059195216,
203.43176606432192,975,,29.283865108746507,8739.879727597247,0,8739.879727597247,417.9723595001309,425.2186540488346,,,,,,,,80.45007388826771,,,,,,,,4.830888316985238,4.830888316985238,4.830888316985238,4,,,,,,4.828842086231191
203.43176606432192,1000,0,,,,,,,0,111.18802816054999,0,9.584179919243513e-37,0,111.18802816054999,111.18802816054999,,0,6.214531412988753,0,5.356798583555364e-38,0,6.214531412988753,6.214531412988753,,,,,,,,6.2145314129887606,6.214531412988753,
404.3186073805888,0,0,,,,,,,0,110,0,0,0,110,110,,0,5.777289447762256,0,0,0,5.777289447762256,5.777289447762256,,,,,,,,5.777472547761598,5.777472547761598,
404.3186073805888,25,,327.1462411678229,10571.55898546129,0,10571.55898546129,421.46467666568816,425.2186540488346,,,,,,,,366.16077179721634,,,,,,,,38.92778681237144,38.92778681237144,38.92778681237144,4,,,,,,37.535063967227586
404.3186073805888,50,0,,,,,,,0,110.00349690280031,0,1.947772704554019e-52,0,110.00349690280031,110.00349690280031,,0,5.777473107940875,0,1.0229860629690259e-53,0,5.777473107940875,5.777473107940875,,,,,,,,5.765071382131145,5.765071382131137,
404.3186073805888,75,,314.97846203846404,10426.326900923306,0,10426.326900923306,421.23075338355153,425.2186540488346,,,,,,,,365.42548506759744,,,,,,,,37.83288292863193,37.83288292863193,37.83288292863193,4,,,,,,36.4655587388055
404.3186073805888,100,0,,,,,,,0,110.00706085131101,0,3.559038038257921e-51,0,110.00706085131101,110.00706085131101,,0,5.752909164118041,0,1.86122803275447e-52,0,5.752909164118041,5.752909164118041,,,,,,,,5.740347948781107,5.740347948781099,
404.3186073805888,125,,302.3162366263588,10270.459100916445,0,10270.459100916445,420.97264081459576,425.2186540488346,,,,,,,,364.6945849415775,,,,,,,,36.72184758634626,36.72184758634626,36.72184758634626,4,,,,,,35.37998619484728
404.3186073805888,150,0,,,,,,,0,110.01068131269629,0,3.2863989660646064e-50,0,110.01068131269629,110.01068131269629,,0,5.728029977598722,0,1.711160368370064e-51,0,5.728029977598722,5.728029977598722,,,,,,,,5.715288753709981,5.715288753709973,
404.3186073805888,175,,289.214868715114,10102.002947754023,0,10102.002947754023,420.68509931593286,425.2186540488346,,,,,,,,363.9667813683872,,,,,,,,35.59174515671697,35.59174515671697,35.59174515671697,4,,,,,,34.275355093647306
404.3186073805888,200,0,,,,,,,0,110.01434436345744,0,2.0444122740616497e-49,0,110.01434436345744,110.01434436345744,,0,5.7027939671691925,0,1.059758347912134e-50,0,5.7027939671691925,5.7027939671691925,,,,,,,,5.689841428850331,5.689841428850323,
404.3186073805888,225,,275.72851110949154,9918.652346569794,0,9918.652346569794,420.36150398560727,425.2186540488346,,,,,,,,363.2421170677104,,,,,,,,34.4388386583866,34.4388386583866,34.4388386583866,4,,,,,,33.14781114369379
404.3186073805888,250,0,,,,,,,0,110.01804653783388,0,9.637446171572461e-49,0,110.01804653783388,110.01804653783388,,0,5.677138633589646,0,4.9731039326315855e-50,0,5.677138633589646,5.677138633589646,,,,,,,,5.6639299274261345,5.663929927426127,
404.3186073805888,275,,261.9063586415412,9717.345663439324,0,9717.345663439324,419.99276197754915,425.2186540488346,,,,,,,,362.52064195444916,,,,,,,,33.25810118453893,33.25810118453893,33.25810118453893,4,,,,,,31.992037984685965
404.3186073805888,300,0,,,,,,,0,110.02182931475251,0,3.671692760270333e-48,0,110.02182931475251,110.02182931475251,,0,5.65097683483587,0,1.8858667286438306e-49,0,5.65097683483587,5.65097683483587,,,,,,,,5.6374436423870025,5.637443642386995,
404.3186073805888,325,,247.78628607157546,9493.841939200649,0,9493.841939200649,419.565851262834,425.2186540488346,,,,,,,,361.8024148090644,,,,,,,,32.04230366657475,32.04230366657475,32.04230366657475,4,,,,,,30.800133373355436
404.3186073805888,350,0,,,,,,,0,110.02585968771982,0,1.1774881089870176e-47,0,110.02585968771982,110.02585968771982,,0,5.624181134953002,0,6.018954478512843e-49,0,5.624181134953002,5.624181134953002,,,,,,,,5.609372550588279,5.609372550588272,
404.3186073805888,375,,201.39534178172968,8255.392985965076,0,8255.392985965076,416.80254603900653,425.2186540488346,,,,,,,,361.087397920153,,,,,,,,30.709977818002244,30.709977818002244,30.709977818002244,4,,,,,,29.351674804383606
404.3186073805888,400,0,,,,,,,0,110.0313732968304,0,3.2708908191509606e-47,0,110.0313732968304,110.0313732968304,,0,5.594922102388927,0,1.6631964857150336e-48,0,5.594922102388927,5.594922102388927,,,,,,,,5.5755762944986245,5.575576294498617,
404.3186073805888,425,,196.20082203842728,8283.16172496516,0,8283.16172496516,416.87310570342913,425.2186540488346,,,,,,,,360.375568265101,,,,,,,,28.976172986875667,28.976172986875667,28.976172986875667,4,,,,,,27.701328660748516
