time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,25,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,50,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,75,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,100,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,125,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,150,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,175,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,200,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,225,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,250,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,275,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,300,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,325,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,350,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,375,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,400,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,425,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,450,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,475,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,500,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,525,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,550,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,575,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,600,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,625,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,650,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,675,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,700,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,725,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,750,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,775,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,800,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,825,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,850,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,875,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,900,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,925,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,950,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,975,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,1000,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
203.40585117332816,0,0,,,,,,,0,110,0,0,0,110,110,,,,,,,,,5.795124620151353,5.795124620151353
203.40585117332816,25,,785.5568359440462,10549.888861267134,0,10549.888861267134,421.4301653688737,425.2186540488346,,,,,,,,361.26663966876816,38.94803492714101,38.94803492714101,38.94803492714101,4,,,,,
203.40585117332816,50,0,,,,,,,0,109.9737390165261,0,1.4873470681685643e-39,0,109.9737390165261,109.9737390165261,,,,,,,,,5.782817877390479,5.782817877390471
203.40585117332816,75,,769.6596916750669,10407.808077434584,0,10407.808077434584,421.2004750685498,425.2186540488346,,,,,,,,360.5294328613298,37.874300249365035,37.874300249365035,37.874300249365035,4,,,,,
203.40585117332816,100,0,,,,,,,0,109.94768245653728,0,1.3910988300009342e-38,0,109.94768245653728,109.94768245653728,,,,,,,,,5.756769318724543,5.756769318724535
203.40585117332816,125,,752.6736154081663,10254.910252824604,0,10254.910252824604,420.94647963917794,425.2186540488346,,,,,,,,359.79705775096727,36.786917492392206,36.786917492392206,36.786917492392206,4,,,,,
203.40585117332816,150,0,,,,,,,0,109.92136469743764,0,6.640419409709847e-38,0,109.92136469743764,109.92136469743764,,,,,,,,,5.730456125943682,5.730456125943674
203.40585117332816,175,,734.5031895865432,10090.851241091263,0,10090.851241091263,420.6657395405177,425.2186540488346,,,,,,,,359.06814443547876,35.68484934794856,35.68484934794856,35.68484934794856,4,,,,,
