time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,Temperature - surroundings,CO2 mGas total,CO2 mOil total,CO2 mTotal,Velocity - gas,Velocity - oil
[s],[m],[?],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[C],[?],[?],[?],[m/s],[m/s]
0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,25,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,50,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,75,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,100,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,125,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,150,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,175,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,200,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,225,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,250,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,275,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,300,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,325,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,350,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,375,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,400,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,425,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,450,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,475,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,500,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,525,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,550,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,575,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,600,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,625,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,650,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,675,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,700,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,725,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,750,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,775,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,800,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,825,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,850,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,875,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,900,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,925,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,950,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
0,975,,0,0,0,0,0,0,,,,,,,,80,5,5,5,4,,,,,
0,1000,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0
202.40932859327432,0,0,,,,,,,0,100,0,0,0,100,100,,,,,,,,,9.27109462612772,9.27109462612772
202.40932859327432,25,,990.5561014095708,9304.74536794336,0,9304.74536794336,419.18936636898303,425.2186540488346,,,,,,,,98.70987594171946,39.45790911488115,39.45790911488115,39.45790911488109,4,,,,,
202.40932859327432,50,0,,,,,,,0,100.04336113249398,0,-8.906975262657105e-46,0,100.04336113249398,100.04336113249398,,,,,,,,,9.202809172804471,9.202809172804459
202.40932859327432,75,,991.3009298016125,9314.390804954961,0,9314.390804954961,419.20892343657215,425.2186540488346,,,,,,,,97.63358642325491,38.6245427682494,38.6245427682494,38.6245427682494,4,,,,,
202.40932859327432,100,0,,,,,,,0,100.09213133794788,0,-1.282069570316583e-44,0,100.09213133794788,100.09213133794788,,,,,,,,,9.072933757898255,9.072933757898243
202.40932859327432,125,,989.9259532652794,9318.072198215154,0,9318.072198215154,419.2163776263552,425.2186540488346,,,,,,,,96.57853269415314,37.80812041860838,37.80812041860838,37.80812041860838,4,,,,,
202.40932859327432,150,0,,,,,,,0,100.14704306479946,0,-9.294434724796867e-44,0,100.14704306479946,100.14704306479946,,,,,,,,,8.94631597900413,8.946315979004117
202.40932859327432,175,,986.6313005732046,9314.527600823905,0,9314.527600823905,419.209200525401,425.2186540488346,,,,,,,,95.5376475372635,37.004587098368404,37.004587098368404,37.004587098368404,4,,,,,
