time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,25,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,50,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,75,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,100,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,125,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,150,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,175,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,200,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,225,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,250,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,275,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,300,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,325,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,350,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,375,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,400,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,425,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,450,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,475,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,500,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,525,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,550,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,575,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,600,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,625,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,650,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,675,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,700,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,725,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,750,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,775,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,800,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,825,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,850,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,875,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,900,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,925,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,950,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,975,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,1000,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
215.05479694997214,0,0,,,,,,,0,19.02814489999493,0,0,0,19.02814489999493,19.02814489999493,,,,,,,
215.05479694997214,25,,116.0829504633541,1773.7756896587332,0,1773.7756896587332,351.88298622882695,425.2186540488346,,,,,,,,87.67632849554901,2.235174680432692,2.235174680432692,2.235174680432749,,,
215.05479694997214,50,0,,,,,,,0,18.708438869206212,0,0,0,18.708438869206212,18.708438869206212,,,,,,,
215.05479694997214,75,,104.38155231107432,1758.7057358707768,0,1758.7057358707768,351.28584238666605,425.2186540488346,,,,,,,,87.64964575639155,3.894115162840535,3.894115162840535,3.894115162840535,,,
215.05479694997214,100,0,,,,,,,0,18.41463669983921,0,0,0,18.41463669983921,18.41463669983921,,,,,,,
215.05479694997214,125,,124.63185193261225,1741.4531260020694,0,1741.4531260020697,350.59207708178525,425.2186540488346,,,,,,,,87.62335719066259,4.753062760589955,4.753062760589955,4.753062760589955,,,
215.05479694997214,150,0,,,,,,,0,18.211722976556207,0,0,0,18.211722976556207,18.211722976556207,,,,,,,
215.05479694997214,175,,128.9175397226456,1730.4135316958832,0,1730.4135316958832,350.1423612512245,425.2186540488346,,,,,,,,87.59739515633068,5.113828729992747,5.113828729992747,5.113828729992747,,,
215.05479694997214,200,0,,,,,,,0,18.0720586044204,0,0,0,18.0720586044204,18.0720586044204,,,,,,,
215.05479694997214,225,,129.7535923065689,1722.122643741702,0,1722.122643741702,349.80159740559327,425.2186540488346,,,,,,,,87.57170196992713,5.245930489791249,5.245930489791249,5.245930489791249,,,
215.05479694997214,250,0,,,,,,,0,17.962609417727435,0,0,0,17.962609417727435,17.962609417727435,,,,,,,
