time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,25,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,50,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,75,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,100,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,125,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,150,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,175,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,200,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,225,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,250,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,275,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,300,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,325,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,350,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,375,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,400,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,425,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,450,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,475,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,500,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,525,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,550,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,575,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,600,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,625,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,650,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,675,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,700,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,725,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,750,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,775,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,800,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,825,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,850,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,875,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,900,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,925,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,950,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
0,975,,0,0,0,0,0,0,,,,,,,,80,5,5,5,,,
0,1000,0,,,,,,,0,0,0,0,0,0,0,,,,,,,
215.05479694997214,0,0,,,,,,,0,30,0,0,0,30,30,,,,,,,
215.05479694997214,25,,230.4303922454285,3075.384162840418,0,3075.384162840418,384.1356166755741,425.2186540488346,,,,,,,,102.05635184011393,0.5735509096373335,0.5735509096373335,0.5735509096373335,,,
215.05479694997214,50,0,,,,,,,0,29.988244722174546,0,0,0,29.988244722174546,29.988244722174546,,,,,,,
215.05479694997214,75,,215.44596504525146,3070.4034679110005,0,3070.4034679110005,384.0577993527152,425.2186540488346,,,,,,,,102.00083258630706,1.1048825648086336,1.1048825648086336,1.1048825648086336,,,
215.05479694997214,100,0,,,,,,,0,29.967319030454213,0,0,0,29.967319030454213,29.967319030454213,,,,,,,
215.05479694997214,125,,196.1757672500525,3063.1550984852306,0,3063.1550984852306,383.94415691623664,425.2186540488346,,,,,,,,101.9451211942358,1.6370008135889407,1.6370008135889407,1.6370008135889407,,,
215.05479694997214,150,0,,,,,,,0,29.92861609721947,0,0,0,29.92861609721947,29.92861609721947,,,,,,,
215.05479694997214,175,,170.66388294813677,3053.4632549046546,0,3053.463254904655,383.7914677972772,425.2186540488346,,,,,,,,101.88936690320699,2.194311803591006,2.194311803591006,2.194311803591006,,,
215.05479694997214,200,0,,,,,,,0,29.86586604110139,0,0,0,29.86586604110139,29.86586604110139,,,,,,,
215.05479694997214,225,,136.50032223788202,3041.415287311753,0,3041.415287311753,383.60047375586214,425.2186540488346,,,,,,,,101.83364399967627,2.771850586991036,2.771850586991036,2.771850586991036,,,
215.05479694997214,250,0,,,,,,,0,29.779048245008404,0,0,0,29.779048245008404,29.779048245008404,,,,,,,
215.05479694997214,275,,68.5737212986973,3027.663353018347,0,3027.663353018347,383.38084458370827,425.2186540488346,,,,,,,,101.77802326923756,3.3396022103648875,3.3396022103648875,3.3396022103648875,,,
